apontamento_id,projeto_id,analista_id,data,horas,atividade
APT007539,PRJ0106,ANL009,04/22/2026,4,Dashboard
APT004482,PRJ0059,ANL002,2025-04-18,4,Documentação
APT006371,PRJ0087,ANL018,2025-11-19,7.5,Reunião com cliente
APT005390,PRJ0076,ANL015,06/10/2024,5,Reunião com cliente
APT002713,PRJ0034,ANL006,2024-05-06,3,Apresentação
APT004246,PRJ0055,ANL002,2024-07-31,2,Testes
APT009732,PRJ0140,ANL018,2025-11-18,4,Modelagem
APT001904,PRJ0025,ANL016,04/10/2025,4,Reunião com cliente
APT007636,PRJ0109,ANL013,13-abr-2026,2,Reunião com cliente
APT000519,PRJ0007,ANL010,2024-10-04,6.5,Documentação
APT005820,PRJ0081,ANL005,2026-04-03,6,Dashboard
APT005831,PRJ0081,ANL011,05/12/2026,6,Modelagem
APT009194,PRJ0131,ANL003,2024-02-15,7,Apresentação
APT000962,PRJ0012,ANL023,2026-05-04,7,Reunião com cliente
APT003620,PRJ0046,ANL010,2024-03-19,2,Testes
APT005921,PRJ0081,ANL023,01-jun-2026,8,Dashboard
APT000272,PRJ0005,ANL017,27-jan-2025,6,Dashboard
APT001080,PRJ0012,ANL017,2026-04-27,4,Dashboard
APT008569,PRJ0121,ANL015,2026-04-30,"8,5",Documentação
APT005945,PRJ0081,ANL023,2026-06-25,4,Dashboard
APT000777,PRJ0010,ANL013,08/01/2024,8.5,Testes
APT003575,PRJ0044,ANL011,29/05/2025,8.5,Modelagem
APT008600,PRJ0121,ANL015,2026-05-07,6,Documentação
APT002940,PRJ0036,ANL001,05/13/2026,6.5,Reunião com cliente
APT000975,PRJ0012,ANL005,2026-05-04,4,ETL
APT007741,PRJ0109,ANL001,26-mar-2026,"3,5",Dashboard
APT004373,PRJ0057,ANL024,13/03/2026,4,Coleta
APT000149,PRJ0003,ANL021,2025-08-05,6,Dashboard
APT002227,PRJ0027,ANL001,2024-09-23,5,ETL
APT004319,PRJ0056,ANL009,03/25/2025,6,Modelagem
APT002736,PRJ0034,ANL006,17-jun-2024,2,Coleta
APT001185,PRJ0014,ANL020,2024-07-15,4,Dashboard
APT001363,PRJ0015,ANL016,08/09/2025,6,ETL
APT004218,PRJ0055,ANL014,2024-10-09,8.5,Coleta
APT008299,PRJ0120,ANL001,2026-04-02,2,Testes
APT005981,PRJ0082,ANL004,2025-03-07,2.5,Modelagem
APT002200,PRJ0027,ANL007,2024-10-28,7,Documentação
APT005948,PRJ0081,ANL023,04/05/2026,2,Documentação
APT005891,PRJ0081,ANL005,2026-04-23,3,Modelagem
APT007061,PRJ0101,ANL018,05/06/2026,2.5,ETL
APT002108,PRJ0026,ANL003,2025-12-31,2.5,Documentação
APT001697,PRJ0022,ANL003,2026-03-05,5,Documentação
APT008278,PRJ0119,ANL024,2024-04-16,4,Apresentação
APT005473,PRJ0078,ANL023,10-jul-2025,6,Documentação
APT002036,PRJ0026,ANL015,14-ago-2025,7.5,Coleta
APT006489,PRJ0089,ANL022,07/29/2024,6,Documentação
APT004877,PRJ0065,ANL004,05/03/2026,6,Dashboard
APT008182,PRJ0119,ANL012,10-mai-2024,6.5,Reunião com cliente
APT003497,PRJ0042,ANL013,2025-09-17,2,Coleta
APT004763,PRJ0064,ANL014,2026-04-20,2,Apresentação
APT008113,PRJ0118,ANL014,12/15/2025,"4,5",Coleta
APT006957,PRJ0099,ANL015,01-jul-2025,2,ETL
APT009119,PRJ0130,ANL001,04/06/2025,2.5,ETL
APT004979,PRJ0066,ANL003,2024-12-16,6,Modelagem
APT008126,PRJ0118,ANL020,29-dez-2025,4,ETL
APT001802,PRJ0024,ANL005,2025-11-18,4.5,Apresentação
APT002147,PRJ0026,ANL009,21/08/2025,4,ETL
APT007526,PRJ0106,ANL021,2026-06-24,7,MODELAGEM
APT006318,PRJ0086,ANL015,2026-05-04,3.5,Reunião com cliente
APT007627,PRJ0109,ANL007,2026-03-09,6,Dashboard
APT008973,PRJ0129,ANL001,05-jan-2026,4,Dashboard
APT001530,PRJ0018,ANL017,2025-10-29,6,Reunião com cliente
APT001328,PRJ0015,ANL022,03/11/2025,6,Coleta
APT009349,PRJ0134,ANL015,2026-01-16,4,ETL
APT002436,PRJ0031,ANL015,10/31/2024,6,Apresentação
APT006894,PRJ0098,ANL024,15-ago-2025,5,Reunião com cliente
APT002367,PRJ0029,ANL019,2025-06-25,6.5,Apresentação
APT009685,PRJ0140,ANL024,2025-11-26,6,Dashboard
APT005272,PRJ0072,ANL006,2025-10-17,7.5,Coleta
APT007498,PRJ0106,ANL021,2026-05-25,7,Apresentação
APT007887,PRJ0113,ANL010,02/05/2024,2.5,Documentação
APT004525,PRJ0061,ANL006,2025-05-21,"4,5",Apresentação
APT009612,PRJ0139,ANL011,2024-11-01,3,Apresentação
APT002791,PRJ0034,ANL012,28/03/2024,5,Modelagem
APT005939,PRJ0081,ANL005,2026-04-28,7.5,Reunião com cliente
APT009089,PRJ0130,ANL007,2025-06-03,7,Documentação
APT003764,PRJ0047,ANL012,03/12/2024,7,Dashboard
APT009390,PRJ0135,ANL002,2024-04-01,2,Dashboard
APT008188,PRJ0119,ANL024,07/02/2024,6.5,Reunião com cliente
APT006993,PRJ0100,ANL016,05/29/2026,4,Documentação
APT004464,PRJ0059,ANL002,21/02/2025,4,Reunião com cliente
APT002721,PRJ0034,ANL006,14/02/2024,6,Modelagem
APT009228,PRJ0132,ANL022,2024-11-06,3.5,Documentação
APT009180,PRJ0131,ANL009,2024-02-13,5,ETL
APT005641,PRJ0079,ANL018,19-jun-2025,4,Coleta
APT003501,PRJ0042,ANL001,2025-07-21,7,DOCUMENTAÇÃO
APT005262,PRJ0072,ANL018,03/10/2025,3,ETL
APT009712,PRJ0140,ANL012,2025-09-01,2,Testes
APT005271,PRJ0072,ANL024,09/29/2025,4,Testes
APT008804,PRJ0124,ANL016,04/11/2024,7,Coleta
APT001937,PRJ0025,ANL004,19/03/2025,8,Testes
APT005064,PRJ0069,ANL018,2024-11-05,6,Dashboard
APT009660,PRJ0139,ANL017,12/02/2024,3,Documentação
APT006613,PRJ0093,ANL002,11/11/2024,5,Apresentação
APT008604,PRJ0121,ANL021,2026-04-20,3.5,Testes
APT005668,PRJ0079,ANL024,12/05/2025,7,Reunião com cliente
APT002059,PRJ0026,ANL009,2025-11-10,7,Testes
APT002439,PRJ0032,ANL024,2026-05-29,5,Reunião com cliente
APT006162,PRJ0083,ANL021,2025-07-29,3,Modelagem
APT005281,PRJ0072,ANL006,2025-10-06,"3,5",Documentação
APT003278,PRJ0042,ANL007,2025-05-05,5.5,ETL
APT007624,PRJ0108,ANL014,2024-06-19,3,Reunião com cliente
APT002631,PRJ0034,ANL018,07-mai-2024,4.5,Dashboard
APT009738,PRJ0140,ANL012,2025-11-24,6,Documentação
APT004192,PRJ0055,ANL008,15-ago-2024,5,Documentação
APT002576,PRJ0032,ANL006,05/27/2026,4,ETL
APT008411,PRJ0120,ANL001,2026-04-14,3,ETL
APT000734,PRJ0009,ANL011,05-nov-2025,7,Reunião com cliente
APT008472,PRJ0120,ANL001,2026-05-14,3,Modelagem
APT008070,PRJ0116,ANL001,08-mai-2025,6,Documentação
APT001448,PRJ0017,ANL022,13-mar-2025,8,Apresentação
APT008865,PRJ0126,ANL017,2026-05-01,7,Reunião com cliente
APT007574,PRJ0106,ANL009,04/27/2026,4.5,Apresentação
APT005683,PRJ0080,ANL003,18-nov-2024,6,Dashboard
APT005824,PRJ0081,ANL011,05/25/2026,7.5,Testes
APT003026,PRJ0037,ANL010,2025-05-20,7,MODELAGEM
APT006951,PRJ0099,ANL003,05/12/2025,2,DASHBOARD
APT002904,PRJ0036,ANL001,30-mar-2026,5,Apresentação
APT000900,PRJ0012,ANL017,2026-02-25,2,Testes
APT008625,PRJ0122,ANL021,2025-08-15,4.5,Apresentação
APT009713,PRJ0140,ANL024,2025-12-08,8,Reunião com cliente
APT003307,PRJ0042,ANL007,2025-09-29,2,ETL
APT000754,PRJ0010,ANL007,03/10/2024,7.5,Dashboard
APT002130,PRJ0026,ANL015,2025-12-17,4,Modelagem
APT006943,PRJ0099,ANL003,03-jul-2025,"2,5",Modelagem
APT009050,PRJ0130,ANL013,19-mai-2025,4,Coleta
APT007218,PRJ0103,ANL005,2025-04-30,6.5,Coleta
APT009147,PRJ0130,ANL001,06/06/2025,5,Apresentação
APT003800,PRJ0048,ANL005,02-dez-2024,6,Testes
APT009448,PRJ0136,ANL019,03/03/2026,3.5,Apresentação
APT000130,PRJ0003,ANL009,2025-09-24,7.5,Documentação
APT003682,PRJ0047,ANL024,09/23/2024,3,Dashboard
APT004090,PRJ0053,ANL002,2026-04-13,5,Testes
APT008352,PRJ0120,ANL019,2026-04-27,4,Apresentação
APT002415,PRJ0030,ANL003,10/14/2024,2,ETL
APT007927,PRJ0114,ANL005,2024-04-24,6,ETL
APT000388,PRJ0006,ANL002,2025-05-21,4,ETL
APT006849,PRJ0098,ANL012,2025-10-06,7,Dashboard
APT003541,PRJ0043,ANL023,28-nov-2025,4,Testes
APT002284,PRJ0029,ANL013,2025-09-26,3,Testes
APT004280,PRJ0056,ANL021,2025-04-11,2,Coleta
APT006542,PRJ0091,ANL003,2025-12-29,6,ETL
APT000425,PRJ0007,ANL016,22/10/2024,6,Apresentação
APT003330,PRJ0042,ANL019,12/08/2025,2,Apresentação
APT002105,PRJ0026,ANL015,04/09/2025,4,ETL
APT003183,PRJ0040,ANL012,07/08/2025,6,Coleta
APT004803,PRJ0064,ANL020,2026-04-14,7,Apresentação
APT002355,PRJ0029,ANL007,2025-05-28,4.5,Reunião com cliente
APT009668,PRJ0139,ANL017,2024-10-28,6,Modelagem
APT001262,PRJ0014,ANL008,2024-08-15,5,Modelagem
APT006167,PRJ0083,ANL021,08/11/2025,2,Reunião com cliente
APT002561,PRJ0032,ANL024,23-mar-2026,5.5,Reunião com cliente
APT009064,PRJ0130,ANL001,01-mai-2025,6.5,Testes
APT000064,PRJ0003,ANL009,2025-07-14,4.5,Apresentação
APT005804,PRJ0081,ANL017,2026-04-02,6,Coleta
APT002555,PRJ0032,ANL012,05/05/2026,8,Apresentação
APT008361,PRJ0120,ANL019,2026-05-08,2,Dashboard
APT004670,PRJ0063,ANL007,2026-05-29,4,Coleta
APT000245,PRJ0005,ANL017,02/06/2025,5,ETL
APT007525,PRJ0106,ANL015,06/02/2026,6,Apresentação
APT005239,PRJ0071,ANL017,2025-02-03,8,ETL
APT002240,PRJ0028,ANL004,10/07/2024,3,Dashboard
APT007566,PRJ0106,ANL021,27-abr-2026,6,Dashboard
APT007553,PRJ0106,ANL021,05/15/2026,6.5,Apresentação
APT008192,PRJ0119,ANL024,2024-04-03,8.5,Apresentação
APT006406,PRJ0089,ANL016,2024-09-09,5.5,Coleta
APT002232,PRJ0027,ANL013,21-out-2024,4.5,Dashboard
APT002684,PRJ0034,ANL024,2024-03-18,7,Coleta
APT006136,PRJ0083,ANL003,2025-09-11,7,Modelagem
APT001687,PRJ0022,ANL003,03/25/2026,4,Apresentação
APT000772,PRJ0010,ANL013,2024-07-24,5,Coleta
APT006308,PRJ0086,ANL003,2026-04-06,8,Dashboard
APT007239,PRJ0103,ANL005,2025-02-14,8,Apresentação
APT003573,PRJ0044,ANL011,2025-06-02,3,Modelagem
APT000625,PRJ0008,ANL011,2026-04-08,"3,5",ETL
APT005894,PRJ0081,ANL023,04/28/2026,6.5,Coleta
APT008909,PRJ0127,ANL018,29/09/2025,4,Documentação
APT002973,PRJ0036,ANL007,09/03/2026,4,Reunião com cliente
APT002204,PRJ0027,ANL019,03-out-2024,2.5,Documentação
APT006373,PRJ0087,ANL024,2025-11-12,5,Dashboard
APT002723,PRJ0034,ANL024,02/01/2024,7,ETL
APT004243,PRJ0055,ANL020,2024-06-14,"4,5",Coleta
APT004915,PRJ0066,ANL003,2024-11-14,"5,5",ETL
APT007070,PRJ0101,ANL012,05/18/2026,8,Documentação
APT008189,PRJ0119,ANL006,22-abr-2024,6,Apresentação
APT003221,PRJ0041,ANL023,2025-06-09,7,Testes
APT004748,PRJ0064,ANL002,2026-04-20,7.5,ETL
APT004590,PRJ0062,ANL011,14/01/2025,4,Modelagem
APT009720,PRJ0140,ANL012,2025-09-08,4.5,Dashboard
APT005264,PRJ0072,ANL012,10/20/2025,4,ETL
APT001115,PRJ0013,ANL005,2024-11-04,8,Apresentação
APT004259,PRJ0056,ANL015,2025-04-21,6,Reunião com cliente
APT004162,PRJ0054,ANL022,2025-09-19,6,Modelagem
APT008473,PRJ0120,ANL001,2026-04-27,6,Reunião com cliente
APT007153,PRJ0102,ANL013,26-dez-2024,8,Dashboard
APT002596,PRJ0033,ANL002,05-fev-2024,4,Dashboard
APT006553,PRJ0091,ANL003,2025-12-22,4,Modelagem
APT003084,PRJ0039,ANL001,2024-12-19,3,Apresentação
APT006392,PRJ0089,ANL010,2024-07-11,5,Coleta
APT003606,PRJ0046,ANL004,2024-02-14,6,Testes
APT000631,PRJ0008,ANL011,2026-03-13,"4,5",Dashboard
APT009674,PRJ0139,ANL023,12/09/2024,4.5,Apresentação
APT003627,PRJ0046,ANL004,2024-03-19,5,ETL
APT002254,PRJ0028,ANL010,10/21/2024,8,Testes
APT002476,PRJ0032,ANL012,04/03/2026,2.5,COLETA
APT001630,PRJ0021,ANL020,05-jan-2026,4,Reunião com cliente
APT001221,PRJ0014,ANL020,2024-10-21,5,Apresentação
APT008349,PRJ0120,ANL013,27/04/2026,3,Dashboard
APT007611,PRJ0108,ANL014,2024-06-24,7,Documentação
APT003082,PRJ0039,ANL013,2025-01-06,2,Coleta
APT008548,PRJ0121,ANL003,2026-06-22,8,Documentação
APT001886,PRJ0024,ANL011,2025-10-13,5,Reunião com cliente
APT007399,PRJ0106,ANL021,06/22/2026,7,Testes
APT003810,PRJ0048,ANL011,2024-12-11,8,Testes
APT004895,PRJ0065,ANL022,2026-03-17,6,Dashboard
APT009095,PRJ0130,ANL007,2025-05-15,4,Dashboard
APT007004,PRJ0100,ANL010,2026-06-02,6,ETL
APT000032,PRJ0001,ANL022,2024-04-08,6,Dashboard
APT000797,PRJ0010,ANL007,26-ago-2024,4,Apresentação
APT004253,PRJ0055,ANL020,2024-08-05,2,Coleta
APT000208,PRJ0005,ANL011,10/03/2025,3,Apresentação
APT001961,PRJ0025,ANL022,2025-02-12,8.5,Testes
APT007479,PRJ0106,ANL015,2026-05-15,7,Testes
APT002140,PRJ0026,ANL009,06/10/2025,8,Apresentação
APT004134,PRJ0053,ANL008,2026-02-23,7,Testes
APT003157,PRJ0039,ANL001,12/23/2024,8,Reunião com cliente
APT008057,PRJ0115,ANL005,06/17/2024,6.5,Documentação
APT008941,PRJ0128,ANL017,2026-05-07,"5,5",Coleta
APT006118,PRJ0083,ANL015,08/25/2025,6,Documentação
APT005021,PRJ0068,ANL005,2025-02-25,4,Documentação
APT001148,PRJ0013,ANL011,10/31/2024,8,Apresentação
APT006345,PRJ0086,ANL021,2026-04-13,6,Modelagem
APT007631,PRJ0109,ANL013,2026-05-08,7.5,Apresentação
APT001335,PRJ0015,ANL022,08/09/2025,6.5,Modelagem
APT006386,PRJ0088,ANL019,2025-10-07,6,Testes
APT001570,PRJ0019,ANL010,2025-01-20,6,ETL
APT001083,PRJ0012,ANL017,05/03/2026,7,Reunião com cliente
APT008363,PRJ0120,ANL013,13/04/2026,4,Dashboard
APT005385,PRJ0076,ANL021,2024-06-06,7,Modelagem
APT005111,PRJ0070,ANL004,2025-07-17,3,Dashboard
APT000882,PRJ0011,ANL020,08/19/2025,3,Reunião com cliente
APT003997,PRJ0051,ANL017,10/23/2024,"8,5",Coleta
APT003905,PRJ0050,ANL008,22-out-2025,3,Apresentação
APT001049,PRJ0012,ANL017,11-mai-2026,2,Testes
APT000101,PRJ0003,ANL021,2025-07-25,5,APRESENTAÇÃO
APT005506,PRJ0078,ANL011,2025-08-21,6,ETL
APT006038,PRJ0082,ANL010,2025-04-14,7.5,Modelagem
APT005696,PRJ0080,ANL003,11/11/2024,3,Dashboard
APT006034,PRJ0082,ANL016,06/17/2025,7,Apresentação
APT009069,PRJ0130,ANL001,2025-05-12,4,Testes
APT005198,PRJ0070,ANL022,2025-07-23,4,Apresentação
APT002995,PRJ0037,ANL016,21-abr-2025,2,Apresentação
APT009325,PRJ0134,ANL009,2026-02-23,8,Reunião com cliente
APT008584,PRJ0121,ANL015,2026-05-05,2,Testes
APT000152,PRJ0003,ANL015,14/10/2025,4.5,ETL
APT000518,PRJ0007,ANL016,12/30/2024,6,Testes
APT008102,PRJ0118,ANL008,2026-01-02,8.5,Testes
APT001029,PRJ0012,ANL023,05/27/2026,8,Coleta
APT001772,PRJ0023,ANL017,2026-02-26,7,Modelagem
APT008964,PRJ0128,ANL023,2026-06-08,4,Coleta
APT004531,PRJ0061,ANL018,2025-04-30,"4,5",Documentação
APT000243,PRJ0005,ANL005,13/01/2025,3,Coleta
APT008486,PRJ0120,ANL001,2026-06-15,6.5,Modelagem
APT006746,PRJ0095,ANL008,06/03/2025,5.5,Apresentação
APT005845,PRJ0081,ANL017,06/26/2026,4,Documentação
APT006972,PRJ0099,ANL009,06/30/2025,4.5,Apresentação
APT005301,PRJ0073,ANL003,2025-02-03,6.5,APRESENTAÇÃO
APT008591,PRJ0121,ANL015,2026-05-29,6,ETL
APT002148,PRJ0026,ANL015,03-nov-2025,4,Reunião com cliente
APT003704,PRJ0047,ANL012,2024-11-04,6.5,Reunião com cliente
APT005321,PRJ0073,ANL015,2025-02-17,6,Testes
APT007416,PRJ0106,ANL021,2026-05-08,4,Dashboard
APT006629,PRJ0093,ANL014,10/28/2024,3,Coleta
APT001709,PRJ0022,ANL015,2026-02-17,4.5,Dashboard
APT007363,PRJ0106,ANL009,04-mai-2026,4,Coleta
APT000302,PRJ0006,ANL020,2025-07-02,6,ETL
APT002853,PRJ0036,ANL013,2026-04-01,7,Documentação
APT008221,PRJ0119,ANL018,2024-04-04,"4,5",Coleta
APT009597,PRJ0138,ANL017,06/15/2026,6,Documentação
APT004123,PRJ0053,ANL002,03/09/2026,8,Dashboard
APT009051,PRJ0130,ANL013,05/05/2025,6.5,MODELAGEM
APT004341,PRJ0056,ANL015,2025-03-04,7.5,Coleta
APT009530,PRJ0136,ANL013,2026-05-15,4,Dashboard
APT000637,PRJ0008,ANL023,04/22/2026,"6,5",Testes
APT003273,PRJ0042,ANL001,2025-03-25,2,Testes
APT007950,PRJ0114,ANL023,11/04/2024,7,Reunião com cliente
APT003508,PRJ0042,ANL013,2025-09-09,6,Documentação
APT007894,PRJ0113,ANL010,26/04/2024,6,ETL
APT009103,PRJ0130,ANL013,2025-04-28,2,Coleta
APT008668,PRJ0122,ANL021,2025-12-01,5,Testes
APT006717,PRJ0095,ANL020,2025-04-14,7,Modelagem
APT007349,PRJ0105,ANL020,08-dez-2025,7,Reunião com cliente
APT000509,PRJ0007,ANL004,27/09/2024,7,ETL
APT002878,PRJ0036,ANL001,2026-05-13,3,Reunião com cliente
APT001597,PRJ0020,ANL010,2024-03-21,4,ETL
APT006116,PRJ0083,ANL003,14/11/2025,6,Apresentação
APT003073,PRJ0039,ANL013,12/18/2024,6,Testes
APT008491,PRJ0120,ANL007,06/26/2026,3,Modelagem
APT003916,PRJ0050,ANL002,2025-11-06,8,Modelagem
APT003761,PRJ0047,ANL024,2024-10-14,4,ETL
APT007770,PRJ0109,ANL013,05/04/2026,2,Apresentação
APT000229,PRJ0005,ANL005,17/02/2025,"6,5",Reunião com cliente
APT002775,PRJ0034,ANL018,2024-03-15,4,Apresentação
APT007130,PRJ0101,ANL018,2026-05-20,6.5,Modelagem
APT003735,PRJ0047,ANL018,2024-09-26,6,Apresentação
APT006404,PRJ0089,ANL010,24-jun-2024,2,Modelagem
APT004451,PRJ0059,ANL008,01-abr-2025,3,REUNIÃO COM CLIENTE
APT002399,PRJ0029,ANL013,06/10/2025,2,Modelagem
APT002164,PRJ0026,ANL009,2025-12-08,6,Modelagem
APT005221,PRJ0071,ANL011,17-fev-2025,5,Documentação
APT006390,PRJ0089,ANL004,15-jul-2024,4.5,Documentação
APT001725,PRJ0023,ANL017,2026-03-17,4,Documentação
APT009129,PRJ0130,ANL019,2025-04-16,7,ETL
APT007901,PRJ0113,ANL004,20/05/2024,7,DOCUMENTAÇÃO
APT009217,PRJ0132,ANL004,13/11/2024,4,Documentação
APT002615,PRJ0033,ANL020,2024-02-05,6,Modelagem
APT004300,PRJ0056,ANL009,2025-03-24,5,Modelagem
APT009458,PRJ0136,ANL001,2026-03-10,3.5,ETL
APT005160,PRJ0070,ANL010,2025-03-26,6.5,Coleta
APT003096,PRJ0039,ANL019,2024-10-28,2,Testes
APT002570,PRJ0032,ANL018,2026-04-03,4,Dashboard
APT007649,PRJ0109,ANL013,27/04/2026,8,Coleta
APT007871,PRJ0113,ANL010,2024-05-03,3,Coleta
APT008965,PRJ0128,ANL011,06/04/2026,6,Testes
APT002810,PRJ0035,ANL010,2025-02-24,6,Testes
APT002119,PRJ0026,ANL003,25/12/2025,"4,5",Reunião com cliente
APT007420,PRJ0106,ANL021,06/22/2026,2,Coleta
APT008355,PRJ0120,ANL013,2026-06-09,6,Dashboard
APT007112,PRJ0101,ANL012,06/16/2026,4,Coleta
APT004505,PRJ0060,ANL018,2025-05-13,4,Modelagem
APT004866,PRJ0065,ANL016,2026-01-28,3,ETL
APT006964,PRJ0099,ANL021,13-jun-2025,6,Documentação
APT004645,PRJ0063,ANL001,2026-05-13,6,ETL
APT007077,PRJ0101,ANL018,06/11/2026,2,ETL
APT002511,PRJ0032,ANL024,23/02/2026,4,Testes
APT007813,PRJ0111,ANL017,2026-04-20,4,Documentação
APT007162,PRJ0102,ANL007,2025-01-20,6,Documentação
APT004213,PRJ0055,ANL002,22-jul-2024,2,Reunião com cliente
APT002763,PRJ0034,ANL006,14/03/2024,7.5,ETL
APT000200,PRJ0004,ANL023,2024-04-01,6,Reunião com cliente
APT008228,PRJ0119,ANL006,2024-05-23,4,ETL
APT009389,PRJ0135,ANL020,2024-03-05,2,Apresentação
APT000846,PRJ0010,ANL007,19-ago-2024,4,Documentação
APT009537,PRJ0136,ANL019,2026-01-13,4,Documentação
APT002544,PRJ0032,ANL006,2026-06-15,5.5,Testes
APT005748,PRJ0081,ANL005,2026-03-30,3.5,Testes
APT000508,PRJ0007,ANL010,2024-10-03,8.5,ETL
APT003767,PRJ0047,ANL012,2024-08-08,3,Testes
APT000021,PRJ0001,ANL016,03/25/2024,6,Documentação
APT009387,PRJ0135,ANL014,03/15/2024,6,Reunião com cliente
APT004678,PRJ0063,ANL013,2026-05-13,3,Coleta
APT008331,PRJ0120,ANL001,2026-06-22,4.5,Coleta
